报告日,营业总收入,归母净利润,经营现金流净额,资本开支,归母股东权益,资产总计,负债合计,货币资金,股本,短期借款,一年内到期非流动负债,长期借款,应付债券,租赁负债,FCFF,ROE,资产负债率,净利率,FCFF利润率
2021-12-31,2908376063.76,661926139.05,218531823.57,273496738.73,3958723671.45,4864234763.02,905511091.57,1579778179.45,507086219.0,,,,,,-54964915.160000026,0.16720695708663846,0.18615694671114227,0.22759303629883754,-0.018898833560382286
2022-12-31,3310573790.53,903581090.81,831352211.86,364717993.99,4829167615.85,5876061496.29,1046893880.44,1784968530.53,507086219.0,,3148507.72,,,19108447.65,466634217.87,0.1871090760743779,0.17816251261171842,0.27293790985560323,0.14095267086473703
2023-12-31,3097605750.52,688361095.12,1245984809.46,554309057.04,5465978473.54,6439983560.34,974005086.8,2515323176.61,709919026.0,,3777264.13,,,17104145.23,691675752.4200001,0.12593556642278325,0.1512434119860668,0.22222359801741837,0.22329366876462164
2024-12-31,8646831134.32,2837813624.37,640930145.58,1476338009.26,8328129817.86,12266549853.89,3938420036.03,1600269103.7,708806652.0,,3683206.56,,,14650788.43,-835407863.68,0.34075040692619823,0.3210699082416429,0.3281911697230306,-0.0966143377501841
2025-12-31,24841854840.22,9531922730.17,7701234651.0,1319702128.54,17922921088.15,25881071176.47,7816815524.97,8155613938.09,994009312.0,,3622424.57,,,11316444.97,6381532522.46,0.5318286390532718,0.3020282843654758,0.3837041473544648,0.2568863139852195
